UAI,libelle_nature,Nom_etablissement,Nombre d'élèves total ULIS,nombre_eleves_total,Statut_public_prive,Adresse_1,Adresse_2,Code_postal,Nom_commune,ULIS,position,coordX_origine,coordY_origine,epsg_origine,latitude,longitude
0330017P,COLLEGE,Collège Jean Zay,"14,00","491,00",Public,41 avenue de la Côte d'Argent,,33380,Biganos,1,"44.6352700225139, -0.9755237092648023",384824.8,6400843.7,EPSG:2154,44.6352700225139,-0.9755237092648023
0330065S,COLLEGE,Collège Monsejour,"13,00","540,00",Public,7 rue Du Chanoine André Lacaze,BP 80046,33019,Bordeaux,1,"44.85575138900363, -0.6307444484724678",413264.0,6423991.0,EPSG:2154,44.85575138900363,-0.6307444484724678
0331663D,COLLEGE,Collège Cheverus,"13,00","471,00",Public,10  RUE DE CHEVERUS,,33000,Bordeaux,1,"44.83924225573894, -0.5758001082364536",417517.2,6421961.2,EPSG:2154,44.83924225573894,-0.5758001082364536
0332493F,COLLEGE,Collège privé Sainte Marie Grand Lebrun,"10,00","1 038,00",Privé,164 avenue Charles de Gaulle,,33073,Bordeaux,1,"44.850257009928384, -0.6055762746683684",415222.4,6423290.3,EPSG:2154,44.850257009928384,-0.6055762746683684
0332806W,COLLEGE,Collège privé Le Mirail,"15,00","354,00",Privé,61 cours DE LA SOMME,,33800,Bordeaux,1,"44.82811735304615, -0.5724397188104074",417726.6,6420714.8,EPSG:2154,44.82811735304615,-0.5724397188104074
0333132A,COLLEGE,Collège Simone Veil,"15,00","622,00",Public,Rue DES FUTAIES,,33564,Carbon-Blanc,1,"44.9105987358091, -0.500682464533066",423798.7,6429613.0,EPSG:2154,44.9105987358091,-0.500682464533066
0332283C,COLLEGE,Collège François Mitterrand,"13,00","1 031,00",Public,18 boulevard de Verdun,,33670,Créon,1,"44.77364355544522, -0.35172403401287133",434898.7,6413905.1,EPSG:2154,44.77364355544522,-0.35172403401287133
0332494G,COLLEGE,Collège privé Rambaud,"5,00","599,00",Privé,25  AVENUE DE RAMBAUD,,33650,La Brède,1,"44.66783180502459, -0.5042871937884351",422318.2,6402687.5,EPSG:2154,44.66783180502459,-0.5042871937884351
0331528G,COLLEGE,Collège privé Notre-Dame,"10,00","241,00",Privé,14  RUE DE L EGLISE,,33340,Lesparre-Médoc,1,"45.30720959961555, -0.9377808291559515",391534.7,6475230.9,EPSG:2154,45.30720959961555,-0.9377808291559515
0331619F,COLLEGE,Collège Georges Lapierre,"13,00","523,00",Public,- rue Pierre Brossolette,,33305,Lormont,1,"44.87440703977014, -0.5223870666307535",421908.1,6425673.4,EPSG:2154,44.87440703977014,-0.5223870666307535
0330093X,COLLEGE,Collège Lucie Aubrac,"14,00","325,00",Public,11 route du Piquat,,33570,Lussac,1,"44.948876831687336, -0.09990770207892488",455569.1,6432539.5,EPSG:2154,44.948876831687336,-0.09990770207892488
0332743C,COLLEGE,Collège Aliénor d'Aquitaine,"9,00","413,00",Public,77 avenue DES SAPINETTES,,33127,Martignas-sur-Jalle,1,"44.845820328393344, -0.7813895460255532",401323.0,6423447.6,EPSG:2154,44.845820328393344,-0.7813895460255532
0332090T,COLLEGE,Collège Bourran,"15,00","699,00",Public,6 rue Léo Lagrange,,33700,Mérignac,1,"44.838087954165786, -0.632039340442466",413071.6,6422035.9,EPSG:2154,44.838087954165786,-0.632039340442466
0332248P,COLLEGE,Collège Paul Esquinance,"15,00","606,00",Public,1 Au Port Mahon,,33190,La Réole,1,,,,,,
0331757F,COLLEGE,Collège de Saint André de Cubzac,"15,00","746,00",Public,270 chemin DU GYMNASE,BP 30,33240,Saint-André-de-Cubzac,1,"45.005447653596676, -0.43218260433885347",429657.6,6439900.3,EPSG:2154,45.005447653596676,-0.43218260433885347
0330122D,COLLEGE,Collège François Mauriac,"15,00","372,00",Public,6 avenue DU 8 MAI,,33113,Saint-Symphorien,1,"44.430274103031955, -0.49182518493274996",422138.5,6376281.1,EPSG:2154,44.430274103031955,-0.49182518493274996
0332982M,COLLEGE,Collège Val des Pins,"15,00","434,00",Public,Avenue Francois Mitterrand,BP 15,33470,Le Teich,1,"44.624188955864696, -1.027908627041477",380612.6,6399824.9,EPSG:2154,44.624188955864696,-1.027908627041477
